	confidence	interrupted	prediction	amicus	correct	minVotes	winner	caseName	majVotes
06-1005	0.5728155339805825	Pet	Pet	No	0	4	Res	UNITED STATES v. EFRAIN SANTOS AND BENEDICTO DIAZ	5
06-10119	0.5728155339805825	Pet	Pet	No	1	2	Pet	ALLEN SNYDER v. LOUISIANA	7
06-1037	0.7596899224806202	Res	Pet	No	1	4	Pet	KY. RET. SYS. v. EEOC	5
06-1082	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	VIRGINIA v. DAVID LEE MOORE	9
06-11206	0.7596899224806202	Res	Pet	No	1	0	Pet	DEONDERY CHAMBERS v. UNITED STATES	9
06-11429	0.5728155339805825	Pet	Pet	No	0	0	Res	KEITH LAVON BURGESS v. UNITED STATES	9
06-11543	0.5728155339805825	Pet	Pet	No	1	3	Pet	LARRY BEGAY v. UNITED STATES	6
06-11612	0.5728155339805825	Pet	Pet	No	0	1	Res	HOMERO GONZALEZ v. UNITED STATES	8
06-1164	0.6666666666666666	Tie	Pet	No	0	2	Res	JOHN R. SAND & GRAVEL COMPANY v. UNITED STATES	7
06-1181	0.7596899224806202	Res	Pet	No	1	4	Pet	DADA v. MUKASEY	5
06-1195	0.7596899224806202	Res	Pet	No	1	4	Pet	BOUMEDIENE v. BUSH	5
06-1204	0.7419354838709677	Pet	Pet	Pet	1	2	Pet	PHILIPPINES v. PIMENTEL	7
06-1221	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	SPRINT/UNITED MANAGEMENT COMPANY v. ELLEN MENDELSOHN	9
06-1249	0.8245614035087719	Res	Pet	Pet	0	3	Res	WYETH v. DIANA LEVINE	6
06-1286	0.7596899224806202	Res	Pet	No	0	0	Res	MICHAEL J. KNIGHT, TRUSTEE OF THE WILLIAM L. RUDKIN TESTAMENTARY TRUST v. COMMISSIONER OF INTERNAL REVENUE	9
06-1287	0.8245614035087719	Res	Pet	Pet	1	0	Pet	CSX TRANSPORTATION, INC. v. GEORGIA STATE BOARD OF EQUALIZATION ET AL	9
06-1321	0.7596899224806202	Res	Pet	No	1	3	Pet	MYRNA GOMEZ-PEREZ v. JOHN E. POTTER, POSTMASTER GENERAL	6
06-1322	0.34285714285714286	Pet	Res	Res	1	2	Res	FEDERAL EXPRESS CORPORATION v. PAUL HOLOWECKI, ET AL	7
06-1413	0.5728155339805825	Pet	Pet	No	0	0	Res	MEADWESTVACO CORPORATION, SUCCESSOR IN INTEREST TO THE MEAD CORPORATION v. ILLINOIS DEPARTMENT OF REVENUE ET AL	9
06-1431	0.34285714285714286	Pet	Res	Res	1	2	Res	CBOCS WEST, INC. v. HEDRICK G. HUMPHRIES	7
06-1456	0.5728155339805825	Pet	Pet	No	1	0	Pet	HUMBERTO FIDEL REGALADO CUELLAR v. UNITED STATES	9
06-1457	0.8245614035087719	Res	Pet	Pet	1	2	Pet	MORGAN STANLEY CAPITAL GROUP INC. v. PUBLIC UTILITY DISTRICT NO. 1 OF SNOHOMISH COUNTY, WASHINGTON, et al.	5
06-1463	0.7596899224806202	Res	Pet	No	1	1	Pet	ARNOLD M. PRESTON v. ALEX E. FERRER	8
06-1498	0.8245614035087719	Res	Pet	Pet	0	4	Res	WARNER-LAMBERT CO., LLC, et al. v. KIMBERLY KENT et al.	4
06-1505	0.7419354838709677	Pet	Pet	Pet	1	1	Pet	MEACHAM v. KNOLLS ATOMIC POWER LAB.	7
06-1509	0.7596899224806202	Res	Pet	No	1	0	Pet	MICHAEL H. BOULWARE v. UNITED STATES	9
06-1595	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	VICKY S. CRAWFORD v. METROPOLITAN GOVERNMENT OF NASHVILLE AND DAVIDSON COUNTY, TENNESSEE	9
06-1646	0.7596899224806202	Res	Pet	No	1	3	Pet	UNITED STATES v. GINO RODRIQUEZ	6
06-1666	0.5728155339805825	Pet	Pet	No	0	0	Res	MUNAF v. GEREN	9
06-1717	0.7596899224806202	Res	Pet	No	1	0	Pet	RICHLIN SECURITY SERVICE COMPANY v. MICHAEL CHERTOFF, SECRETARY OF HOMELAND SECURITY	9
06-179	0.34285714285714286	Pet	Res	Res	1	1	Res	DONNA S. RIEGEL, INDIVIDUALLY AND AS ADMINISTRATOR OF THE ESTATE OF CHARLES R. RIEGEL v. MEDTRONIC, INC.	8
06-43	0.5	Res	Res	Res	1	3	Res	STONERIDGE INVESTMENT PARTNERS, LLC v. SCIENTIFIC-ATLANTA, INC., ET AL	5
06-457	0.5	Res	Res	Res	1	0	Res	G. STEVEN ROWE, ATTORNEY GENERAL OF MAINE v. NEW HAMPSHIRE MOTOR TRANSPORT ASSOCIATION, et al.	9
06-571	0.7596899224806202	Res	Pet	No	1	0	Pet	MICHAEL A. WATSON v. UNITED STATES	9
06-6330	0.7596899224806202	Res	Pet	No	1	2	Pet	DERRICK KIMBROUGH v. UNITED STATES	7
06-637	0.5	Res	Res	Res	1	4	Res	BOARD OF EDUCATION OF THE CITY SCHOOL DISTRICT OF THE CITY OF NEW YORK v. TOM F., ON BEHALF OF GILBERT F., A MINOR CHILD	4
06-666	0.7596899224806202	Res	Pet	No	1	2	Pet	DEPARTMENT OF REVENUE OF KENTUCKY, et al. v. GEORGE W. DAVIS, ET UX	7
06-6911	0.5728155339805825	Pet	Pet	No	0	0	Res	JAMES D. LOGAN v. UNITED STATES	9
06-694	0.5728155339805825	Pet	Pet	No	1	2	Pet	UNITED STATES v. MICHAEL WILLIAMS	7
06-713	0.7596899224806202	Res	Pet	No	1	2	Pet	WASHINGTON STATE GRANGE v. WASHINGTON STATE REPUBLICAN PARTY, et al.	7
06-7517	0.5	Res	Res	Res	1	4	Res	IRIZARRY v. UNITED STATES	5
06-766	0.8245614035087719	Res	Pet	Pet	1	0	Pet	NEW YORK STATE BOARD OF ELECTIONS, et al. v. MARGARITA LOPEZ TORRES ET AL	9
06-7949	0.5728155339805825	Pet	Pet	No	1	2	Pet	BRIAN MICHAEL GALL v. UNITED STATES	7
06-8273	0.5728155339805825	Pet	Pet	No	1	2	Pet	STEPHEN DANFORTH v. MINNESOTA	7
06-856	0.8245614035087719	Res	Pet	Pet	1	0	Pet	JAMES LARUE v. DEWOLFF, BOBERG & ASSOCIATES, INC., ET AL	9
06-9130	0.7596899224806202	Res	Pet	No	0	4	Res	ABDUS-SHAHID M. S. ALI v. FEDERAL BUREAU OF PRISONS ET AL	5
06-923	0.34285714285714286	Pet	Res	Res	1	3	Res	METRO. LIFE INS. CO. v. GLENN	6
06-937	0.7419354838709677	Pet	Pet	Pet	1	0	Pet	QUANTA COMPUTER, INC., et al. v. LG ELECTRONICS, INC.	9
06-939	0.8245614035087719	Res	Pet	Pet	1	2	Pet	CHAMBER OF COMMERCE OF THE UNITED STATES v. BROWN	7
06-984	0.7419354838709677	Pet	Pet	Pet	0	3	Res	JOSE ERNESTO MEDELLIN v. TEXAS	6
