	amicus	argDate	argMonth	argYear	caseName	cutoffs_ALL	cutoffs_BREYER	cutoffs_GINSBURG	cutoffs_KENNEDY	cutoffs_ROBERTS	cutoffs_SCALIA	decDate	majVotes	minVotes	winner	words_BREYER	words_GINSBURG	words_KENNEDY	words_ROBERTS	words_SCALIA
04-1034	1	2006-02-21	02	2006	JOHN A. RAPANOS, ET UX., et al. v. UNITED STATES	-5.0	1.0	-1.0	0.0	0.3333333333333333	0.05263157894736842	2006-06-19	5	4	1	1.0	-1.0	-0.034482758620689655	0.3674321503131524	0.14285714285714285
04-10566	-1	2006-03-29	03	2006	MOISES SANCHEZ-LLAMAS v. OREGON	-3.0	0.21428571428571427	-0.42857142857142855	0.5555555555555556	-0.25	-0.8181818181818182	2006-06-28	6	3	0	0.2911508482347547	-0.23076923076923078	-0.2096530920060332	-0.18651685393258427	-0.9031578947368422
04-1067	1	2005-11-08	11	2005	GEORGIA v. SCOTT FITZ RANDOLPH	4.0	1.0	-0.3333333333333333	-0.6	0.7142857142857143	-0.8181818181818182	2006-03-22	5	3	0	1.0	-0.6166666666666667	-0.7	0.5660377358490566	-0.9800664451827242
04-1084	0	2005-11-01	11	2005	ALBERTO R. GONZALES, ATTORNEY GENERAL, et al. v. O CENTRO ESPIRITA BENEFICENTE UNIAO DO VEGETAL et al.	-2.0	-0.2	-0.6666666666666666	0.3333333333333333	0.3333333333333333	0.28	2006-02-21	8	0	0	0.369472182596291	-0.38613861386138615	-0.09333333333333334	-0.010494752623688156	0.32082551594746717
04-1131	0	2005-12-05	12	2005	TERRY L. WHITMAN v. DEPARTMENT OF TRANSPORTATION et al.	7.0	0.125	1.0	1.0	0.3333333333333333	-0.23076923076923078	2006-06-05	8	0	1	-0.06461538461538462	0.4091816367265469	0.026022304832713755	-0.7290322580645161	-0.1783893985728848
04-1140	0	2005-11-08	11	2005	GERALD T. MARTIN, ET UX. v. FRANKLIN CAPITAL CORPORATION et al.	-4.0	-0.7142857142857143	-0.45454545454545453	0.3333333333333333	-0.2	1.0	2005-12-07	9	0	0	-0.6026200873362445	-0.5172413793103449	-0.34146341463414637	-0.23529411764705882	1.0
04-1144	1	2005-11-30	11	2005	KELLY A. AYOTTE, ATTORNEY GENERAL OF NEW HAMPSHIRE v. PLANNED PARENTHOOD OF NORTHERN NEW ENGLAND, et al.	4.0	0.0	0.0	0.6	0.42857142857142855	0.5	2006-01-18	9	0	1	-0.254421768707483	-0.4025974025974026	0.12052117263843648	0.39644970414201186	0.052054794520547946
04-1152	0	2005-12-06	12	2005	DONALD H. RUMSFELD, SECRETARY OF DEFENSE, et al. v. FORUM FOR ACADEMIC AND INSTITUTIONAL RIGHTS, INC., et al.	58.0	0.7142857142857143	0.4	0.034482758620689655	0.8461538461538461	0.7857142857142857	2006-03-06	8	0	1	0.492776886035313	0.01967799642218247	0.17647058823529413	0.6996587030716723	0.16546762589928057
04-1170	0	2006-04-25	04	2006	KANSAS v. MICHAEL LEE MARSH, II	7.0	0.2	0.0	1.0	0.5	0.3333333333333333	2006-06-26	5	4	1	-0.14056224899598393	0.265625	0.3865814696485623	0.2757660167130919	0.5838020247469067
04-1186	1	2005-11-28	11	2005	WACHOVIA BANK, NATIONAL ASSOCIATION v. DANIEL G. SCHMIDT, III, et al.	-16.0	1.0	0.2	-1.0	-1.0	-0.5	2006-01-17	8	0	1	1.0	0.20250521920668058	-1.0	-0.42451612903225805	-0.3523238380809595
04-1203	0	2005-11-09	11	2005	UNITED STATES v. GEORGIA et al.	6.0	0.7894736842105263	0.4	-1.0	-0.3333333333333333	-0.4074074074074074	2006-01-10	9	0	1	0.8104906937394247	0.6103896103896104	-0.8454106280193237	-0.45662100456621	-0.20477815699658702
04-1244	1	2005-11-30	11	2005	JOSEPH SCHEIDLER, et al. v. NATIONAL ORGANIZATION FOR WOMEN, INC., et al.	17.0	0.75	0.2	-1.0	0.7777777777777778	0.5833333333333334	2006-02-28	8	0	1	0.7694704049844237	0.03879849812265332	-1.0	0.3020527859237537	0.7431192660550459
04-1264	0	2005-11-29	11	2005	BUCKEYE CHECK CASHING, INC. v. JOHN CARDEGNA et al.	-4.0	0.0	0.6666666666666666	-1.0	-0.42857142857142855	0.1111111111111111	2006-02-21	7	1	1	0.6589327146171694	0.3772455089820359	-1.0	-0.42492917847025496	0.539906103286385
04-1324	-1	2006-02-27	02	2006	PATRICK DAY v. JAMES R. MCDONOUGH, INTERIM SECRETARY, FLORIDA DEPARTMENT OF CORRECTIONS	-21.0	-0.5	-0.6521739130434783	-1.0	0.23076923076923078	-0.3333333333333333	2006-04-25	6	3	0	0.3287671232876712	-0.25593008739076156	-1.0	0.27882599580712786	0.1369150779896014
04-1327	-1	2006-02-22	02	2006	BOBBY LEE HOLMES v. SOUTH CAROLINA	8.0	0.1111111111111111	0.42857142857142855	-0.3333333333333333	-1.0	0.3333333333333333	2006-05-01	9	0	1	0.4501347708894879	0.685823754789272	-0.28	-0.8974358974358975	-0.04
04-1329	1	2005-11-29	11	2005	ILLINOIS TOOL WORKS INC., et al. v. INDEPENDENT INK, INC.	-4.0	0.1	1.0	0.0	0.0	0.0	2006-03-01	8	0	1	0.43100189035916825	-0.16097560975609757	0.04477611940298507	0.14864864864864866	0.47181008902077154
04-1332	0	2005-11-28	11	2005	RICHARD WILL, et al. v. SUSAN HALLOCK, et al.	-13.0	-0.14285714285714285	-0.23076923076923078	-0.3333333333333333	-0.2	-1.0	2006-01-18	9	0	1	0.17216117216117216	-0.2712765957446808	0.06818181818181818	0.25699745547073793	-1.0
04-1350	1	2006-11-28	11	2006	KSR INTERNATIONAL CO. v. TELEFLEX INC. et al.	6.0	1.0	-1.0	-0.6	0.7142857142857143	0.6666666666666666	2007-04-30	9	0	1	0.4985875706214689	-1.0	-0.134185303514377	0.19736842105263158	0.4306569343065693
04-1360	-1	2006-05-18	05	2006	BOOKER T. HUDSON, JR. v. MICHIGAN	25.0	0.7777777777777778	0.3333333333333333	-1.0	-0.2727272727272727	-0.5384615384615384	2006-06-15	5	4	0	0.6832214765100671	0.20784313725490197	-1.0	-0.12656467315716272	-0.8781163434903048
04-1371	0	2006-01-18	01	2006	MERRILL LYNCH, PIERCE, FENNER & SMITH INC. v. SHADI DABIT	37.0	1.0	0.3333333333333333	1.0	0.0	0.8461538461538461	2006-03-21	8	0	1	1.0	0.3180327868852459	1.0	-0.1791907514450867	0.776595744680851
04-1376	0	2006-03-22	03	2006	HUMBERTO FERNANDEZ-VARGAS v. ALBERTO R. GONZALES, ATTORNEY GENERAL	1.0	-0.2	0.7142857142857143	0.16666666666666666	-0.5384615384615384	-0.15384615384615385	2006-06-22	8	1	0	0.05535924617196702	-0.31851851851851853	-0.21348314606741572	-0.2642706131078224	-0.5425219941348973
04-1414	0	2006-01-18	01	2006	UNITED STATES v. JEFFREY GRUBBS	-10.0	1.0	0.8	-1.0	-0.6	-0.3333333333333333	2006-03-21	8	0	1	0.8706697459584296	0.750445632798574	-1.0	-0.2080808080808081	0.3611532625189681
04-1477	-1	2006-01-17	01	2006	GARY KENT JONES v. LINDA K. FLOWERS, et al.	2.0	0.4	-0.1111111111111111	-1.0	0.8181818181818182	-0.3333333333333333	2006-04-26	5	3	1	0.680327868852459	-0.13043478260869565	-0.6126126126126126	0.5698234349919743	-0.4482758620689655
